task_id,learner_id,VanA,C_Harrell,C_Uno,C_Gonen,IGS,ILL,RMSE,MAE
channing,surv.kaplan.scale.encode.nop.ml_ann_coxtime.tuned.compose_distr.compose_crank,1.004246955,0.639697003,0.647316957,0.899802673,0.150479022,0.044513504,49.57545752,40.19796837
channing,surv.kaplan.scale.encode.nop.ml_ann_deephit.tuned.compose_distr.compose_crank,1.002159022,0.5,0.5,0.25,0.162650056,0.043826573,52.11439389,42.87641544
channing,surv.kaplan.scale.encode.nop.ml_ann_deepsurv.tuned.compose_distr.compose_crank,0.979430025,0.636598361,0.634677708,0.951674199,0.155094799,0.048016533,50.13637286,40.4058523
channing,surv.kaplan.scale.encode.nop.ml_ann_loghaz.tuned.compose_distr.compose_crank,1.002159022,0.5,0.5,0.25,0.162650056,0.043826573,52.11439389,42.87641544
channing,surv.kaplan.scale.encode.nop.ml_ann_pchaz.tuned.compose_distr.compose_crank,1.002159022,0.5,0.5,0.25,0.162650056,0.043826573,52.11439389,42.87641544
channing,surv.kaplan.scale.encode.nop.ml_ann_dnn.tuned.compose_distr.compose_crank,1.156889178,0.618305099,0.617806971,0.801155758,0.164401506,0.039115238,55.95938787,45.86851447
diabetic,surv.kaplan.class_nonpar_kaplan.compose_distr.compose_crank,1.044287677,0.5,0.5,0.25,0.194918858,0.069829507,37.21348855,34.43675188
diabetic,surv.kaplan.class_nonpar_nelson.compose_distr.compose_crank,1.049606502,0.5,0.5,0.25,0.194911935,0.069954182,37.29555642,34.52129195
diabetic,surv.kaplan.class_nonpar_akritas.compose_distr.compose_crank,1.044287677,0.5,0.5,0.25,0.194918858,0.069829507,37.21818775,34.44160063
diabetic,surv.kaplan.class_semipar_coxph.compose_distr.compose_crank,1.056163223,0.673800564,0.661196667,0.710797513,0.177793697,0.095161211,34.87319645,30.72274339
diabetic,surv.kaplan.encode.nop.class_semipar_cvglmnet.tuned.compose_distr.compose_crank,1.089768705,0.600452518,0.589671791,0.395135713,0.191630532,0.071002456,37.4612395,34.89211483
diabetic,surv.kaplan.class_semipar_penalized.tuned.compose_distr.compose_crank,1.011826315,0.691033685,0.688537443,0.943735528,0.175558832,0.083594522,34.46675807,30.45061969
diabetic,surv.kaplan.class_par_param.tuned.compose_distr.compose_crank,1.0827215,0.685563803,0.674737233,0.73904345,0.179948544,0.094556625,345.5230694,218.5573103
diabetic,surv.kaplan.class_par_flex.tuned.compose_distr.compose_crank,1.075827632,0.631323278,0.616154599,0.612741208,0.179178698,0.082192002,354.1654352,206.2887063
diabetic,surv.kaplan.ml_ranfor_rfsrc_brier.tuned.compose_distr.compose_crank,1.19799063,0.675589347,0.672380447,0.933187282,0.219618921,1.279540684,28.29500559,25.21367448
diabetic,surv.kaplan.ml_ranfor_rfsrc_logrank.tuned.compose_distr.compose_crank,1.216590583,0.685526097,0.689314878,0.937055361,0.215940018,1.279619157,27.89887005,24.64530281
diabetic,surv.kaplan.ml_ranfor_ranger_c.tuned.compose_distr.compose_crank,1.037193836,0.653877866,0.659087074,0.956460977,0.182392996,0.099646934,34.90472606,31.0110635
diabetic,surv.kaplan.ml_ranfor_rscif.tuned.compose_distr.compose_crank,1.375176556,0.670521522,0.669588661,0.951486623,0.224195347,1.529203583,33.85733875,29.94694036
diabetic,surv.kaplan.ml_ranfor_rrt.tuned.compose_distr.compose_crank,0.253410114,0.625500762,0.627727658,0.641525197,0.287973122,0.235469222,22.52056313,18.25900204
diabetic,surv.kaplan.ml_gbm_mboost_coxph.tuned.compose_distr.compose_crank,1.216942183,0.668913043,0.666399318,0.620783114,0.219488205,1.280318415,28.45582958,25.58966479
diabetic,surv.kaplan.ml_gbm_mboost_cindex.tuned.compose_distr.compose_crank,1.049330422,0.676552761,0.672457606,0.50633226,0.185028671,0.067723518,36.04818268,33.26378257
diabetic,surv.kaplan.ml_gbm_mboost_gehan.tuned.compose_distr.compose_crank,68.46962925,0.673866212,0.677827054,0.652681398,0.281204217,0.314532682,56.86833598,54.81492132
diabetic,surv.kaplan.encode.nop.ml_gbm_coxboost.compose_distr.compose_crank,1.052555479,0.67837801,0.67260195,0.66319325,0.1742823,0.08364168,34.43815111,30.58743468
diabetic,surv.kaplan.scale.encode.nop.ml_svm_van.tuned.compose_distr.compose_crank,Inf,0.621914756,0.643822867,0.994718969,0.400688313,2.818308807,39.63171445,33.50186947
diabetic,surv.kaplan.scale.encode.nop.ml_ann_coxtime.tuned.compose_distr.compose_crank,0.973679511,0.626055527,0.629168814,0.897174203,0.203260479,0.197563677,37.97090524,34.49907286
diabetic,surv.kaplan.scale.encode.nop.ml_ann_deephit.tuned.compose_distr.compose_crank,0.545685686,0.590216666,0.58531332,0.673773503,0.287594724,0.346200154,32.05639344,29.58494119
diabetic,surv.kaplan.scale.encode.nop.ml_ann_deepsurv.tuned.compose_distr.compose_crank,1.085606857,0.546495396,0.557991409,0.905795062,0.192486445,0.080753445,38.05414673,35.07777942
diabetic,surv.kaplan.scale.encode.nop.ml_ann_loghaz.tuned.compose_distr.compose_crank,0.848444448,0.557341409,0.580572075,0.674594581,0.205237768,0.086796855,37.00430594,33.95549742
diabetic,surv.kaplan.scale.encode.nop.ml_ann_pchaz.tuned.compose_distr.compose_crank,1.013759373,0.557225877,0.557676542,0.715499008,0.227404684,0.107560741,31.8127138,28.66650938
diabetic,surv.kaplan.scale.encode.nop.ml_ann_dnn.tuned.compose_distr.compose_crank,53228.86824,0.571557593,0.569740784,0.583209258,0.217688187,0.28859197,47.26884946,43.9389174
flchain,surv.kaplan.class_nonpar_kaplan.compose_distr.compose_crank,1.000959437,0.5,0.5,0.25,0.1298769,0.021709004,2532.444476,2161.646725
flchain,surv.kaplan.class_nonpar_nelson.compose_distr.compose_crank,1.001216205,0.5,0.5,0.25,0.129876966,0.021711136,2532.598456,2161.807719
flchain,surv.kaplan.class_nonpar_akritas.compose_distr.compose_crank,1.000959437,0.5,0.5,0.25,0.1298769,0.021709004,2532.449612,2161.652091
flchain,surv.kaplan.class_semipar_coxph.compose_distr.compose_crank,0.993707635,0.793963277,0.781816268,0.750371218,0.09472485,0.023812189,2018.842583,1612.96771
flchain,surv.kaplan.encode.nop.class_semipar_cvglmnet.tuned.compose_distr.compose_crank,0.351836972,0.796110415,0.783785462,0.696407318,0.653733174,0.496055735,2426.30137,2024.417406
flchain,surv.kaplan.class_semipar_penalized.tuned.compose_distr.compose_crank,Inf,0.678529394,0.675407636,0.699250722,0.12456009,0.196501937,2519.616926,2164.215279
flchain,surv.kaplan.class_par_param.tuned.compose_distr.compose_crank,1.049746578,0.794462407,0.782121742,0.736932051,0.095078784,0.018424613,10716.72733,7987.673788
flchain,surv.kaplan.class_par_flex.tuned.compose_distr.compose_crank,1.000959437,0.5,0.5,0.25,0.1298769,0.021709004,2532.444476,2161.646725
flchain,surv.kaplan.ml_ranfor_rfsrc_brier.tuned.compose_distr.compose_crank,1.006778737,0.793317914,0.77568562,0.999050129,0.10967735,0.258059176,1889.461251,1537.465132
flchain,surv.kaplan.ml_ranfor_rfsrc_logrank.tuned.compose_distr.compose_crank,0.994664237,0.792117715,0.772312033,0.99899683,0.108341644,0.257854045,1876.933992,1510.90634
flchain,surv.kaplan.ml_ranfor_ranger_c.tuned.compose_distr.compose_crank,0.962609379,0.790570402,0.772915375,0.999086368,0.097551301,0.027172133,1979.311677,1607.310664
flchain,surv.kaplan.ml_ranfor_rscif.tuned.compose_distr.compose_crank,2.370304152,0.789872348,0.770970118,0.999017716,0.182336016,0.8762109,1990.420425,1623.745337
flchain,surv.kaplan.ml_ranfor_rrt.tuned.compose_distr.compose_crank,0.173378038,0.756255221,0.743282783,0.62443465,0.187999217,0.161359656,2000.921101,1605.786322
flchain,surv.kaplan.ml_gbm_mboost_coxph.tuned.compose_distr.compose_crank,1.026617466,0.814720821,0.799581528,0.71244216,0.105012947,0.261340637,1919.545301,1580.542364
flchain,surv.kaplan.ml_gbm_mboost_cindex.tuned.compose_distr.compose_crank,1.028841774,0.806003427,0.791591919,0.543108022,0.123569664,0.025432584,2404.386787,2043.265626
flchain,surv.kaplan.ml_gbm_mboost_gehan.tuned.compose_distr.compose_crank,4015.824023,0.817050206,0.80012976,0.70578388,0.168772013,0.193990657,3282.948373,2978.427955
flchain,surv.kaplan.encode.nop.ml_gbm_coxboost.compose_distr.compose_crank,0.993460753,0.81721729,0.800589716,0.741700542,0.094344814,0.028678467,1955.186983,1605.356716
flchain,surv.kaplan.scale.encode.nop.ml_svm_van.tuned.compose_distr.compose_crank,Inf,0.757665658,0.738806224,0.999994647,0.30733342,0.7265377,2643.244285,2250.819507
flchain,surv.kaplan.scale.encode.nop.ml_ann_coxtime.tuned.compose_distr.compose_crank,1.005819457,0.784149027,0.781790924,0.998332214,0.108008318,0.026009838,2172.01528,1789.035361
flchain,surv.kaplan.scale.encode.nop.ml_ann_deephit.tuned.compose_distr.compose_crank,0.190647833,0.770359325,0.768680954,0.992513502,0.231366227,0.064294223,1656.291409,1373.654627
flchain,surv.kaplan.scale.encode.nop.ml_ann_deepsurv.tuned.compose_distr.compose_crank,1.076204365,0.784663618,0.781509817,0.998878837,0.101594923,0.026791968,2111.59126,1733.027568
flchain,surv.kaplan.scale.encode.nop.ml_ann_loghaz.tuned.compose_distr.compose_crank,0.411039228,0.784984362,0.784004533,0.99532361,0.123736002,0.034154576,1995.781708,1619.647047
flchain,surv.kaplan.scale.encode.nop.ml_ann_pchaz.tuned.compose_distr.compose_crank,0.945362376,0.781767345,0.779277027,0.997513568,0.10230047,0.024250505,2053.130176,1680.339259
flchain,surv.kaplan.scale.encode.nop.ml_ann_dnn.tuned.compose_distr.compose_crank,0.982245881,0.745458507,0.742967975,0.896110368,0.108910304,0.024049855,2327.70093,1939.46445
gbsg,surv.kaplan.class_nonpar_kaplan.compose_distr.compose_crank,1.000492553,0.5,0.5,0.25,0.202112169,0.011806747,30.1473773,26.8909722
gbsg,surv.kaplan.class_nonpar_nelson.compose_distr.compose_crank,1.001221329,0.5,0.5,0.25,0.202112544,0.011813263,30.16030939,26.90286011
gbsg,surv.kaplan.class_nonpar_akritas.compose_distr.compose_crank,1.000856032,0.515531605,0.515611154,0.462980777,0.202062482,0.011794637,30.15614739,26.89795893
gbsg,surv.kaplan.class_semipar_coxph.compose_distr.compose_crank,0.995721495,0.662524796,0.653393137,0.617840898,0.181291307,0.013718499,27.76713722,24.28229654
